해역/연안별(1),해역/연안별(2),층별(1),2025,2025,2025,2025
해역/연안별(1),해역/연안별(2),층별(1),수온Temp. (℃),수소이온농도pH,용존산소량DO (㎎/ℓ),해양알칼리도 향상 기술 판정
동해,거진연안,표층,15.65,8.13,9.25,사용 불가
동해,속초연안,표층,16.2,8.12,9.17,사용 불가
동해,양양연안,표층,16.54,8.16,8.98,사용 불가
동해,주문진연안,표층,15.73,8.16,9.32,사용 불가
동해,강릉연안,표층,15.96,8.16,9.22,사용 불가
동해,동해연안,표층,16,8.17,9.46,사용 불가
동해,삼척연안,표층,16.01,8.17,9.5,사용 불가
동해,죽변연안,표층,16.21,8.16,9.34,사용 불가
동해,후포연안,표층,16.62,8.13,8.88,사용 불가
동해,축산연안,표층,16.3,8.17,8.88,사용 불가
동해,강구연안,표층,16.64,8.17,8.99,사용 불가
동해,월포연안,표층,15.52,8.16,9.39,사용 불가
동해,영일만,표층,16.18,8.2,9.5,사용 불가
동해,구룡포연안,표층,16.57,8.14,9.04,사용 불가
동해,감포연안,표층,16.25,8.12,8.8,사용 불가
남해,기장연안,표층,15.88,8.14,7.96,사용 불가
남해,진해만,표층,16.83,8.11,7.86,사용 불가
남해,거제도동안,표층,17.98,8.19,8.69,사용 불가
남해,거제도남안,표층,16.75,8.13,8.37,사용 불가
남해,통영연안,표층,16.5,8.09,8.61,사용 불가
남해,통영외안,표층,17.33,8.14,8.72,사용 불가
남해,고성자란만,표층,17.06,8.04,8.53,사용 불가
남해,사천연안,표층,16.17,8.09,8.31,사용 불가
남해,진주만,표층,16.16,8.05,8.73,사용 불가
남해,남해도남안,표층,16.9,8.15,8.32,사용 불가
남해,여수연안,표층,16.16,8.12,8.05,사용 불가
남해,여자만,표층,16.65,8.11,8.82,사용 불가
남해,고흥연안,표층,16.38,8.13,8.31,사용 불가
남해,제주연안,표층,20.12,8.17,7.91,사용 불가
남해,조천연안,표층,19.57,8.17,7.91,사용 불가
남해,성산연안,표층,20,8.17,7.9,사용 불가
남해,표선연안,표층,20.43,8.15,7.83,사용 불가
남해,서귀포연안,표층,21.07,8.13,7.88,해양알칼리도 향상 기술 사용 가능
남해,대정연안,표층,20.61,8.14,8,해양알칼리도 향상 기술 사용 가능
남해,한림연안,표층,20.1,8.17,7.77,사용 불가
남해,진도연안,표층,15.84,8.12,9.72,사용 불가
남해,해남만,표층,16.05,8.05,9.08,사용 불가
서해,목포연안,표층,16.28,8.03,8.7,사용 불가
서해,신안연안,표층,15.69,8.02,8.66,사용 불가
서해,무안연안,표층,16.52,8.01,8.82,사용 불가
서해,고창연안,표층,16.36,8.13,9.39,사용 불가
서해,전주포연안,표층,15.46,8.13,9.43,사용 불가
서해,군산연안,표층,15.44,8.09,9.21,사용 불가
서해,보령연안,표층,15.34,8.1,9.27,사용 불가
서해,천수만,표층,15.42,8.13,9.33,사용 불가
서해,태안연안,표층,14.36,8.07,9.43,사용 불가
서해,가로림연안,표층,13.33,8.07,9.58,사용 불가
서해,대산연안,표층,14.13,8.06,9.3,사용 불가
서해,아산연안,표층,14.65,8.07,9.14,사용 불가
